NOMBRE ;DIRECCION;LOCALIDAD;latitude;longitude
LAMAITE ;JOSE HERNANDEZ 2711;BELGRANO;;
FARADAY ;AV. RIVADAVIA 4953;CABALLITO;;
TKL ETCHEVERRY;AV. CALLAO 299;CONGRESO;;
NUEVA ERA;AV. CASEROS 999;CONSTITUCION;;
SAINT ETIENNE;AV. RIVADAVIA 7209;FLORES;;
TKL GRAN LINIERS;AV. RIVADAVIA 11552;LINIERS;;
OPENFARMA GRAN RURAL;AV. SANTA FE 4228;PALERMO;;
TKL TEKIEL;AV. SANTA FE 2399;RECOLETA;;
DEL RIO 4097;AV. GARCIA DEL RIO 4097;SAAVEDRA;;
DANERI;CAMPANA 2502;VILLA DEL PARQUE;;
CENTRAL SANTA ROSA;MACHADO 3575;CASTELAR;;
CANO;EL PAYADOR 1953;CIUDAD EVITA;;
SHOPPING CATAN;GRAL. JUAN MANUEL DE ROSAS 14446;GONZALEZ CATAN;;
HAEDO;CASEROS 2 RUTA 202;HAEDO;;
DEMARIA;AV. CRISTIANIA 1893;ISIDRO CASANOVA;;
ESCALANTE;AV. CRISTIANIA 1324;ISIDRO CASANOVA;;
C.OESTE ITUZAINGO;GRAL. LAS HERAS 381;ITUZAINGO;;
CORNEO;AV. SAN MARTIN 5230;LA TABLADA;;
LA PLAZA ;AV. LURO 5881;LAFERRERE;;
RUIZ;PIEDRABUENA 6378;LAFERRERE;;
ESTANISLAO;ESTANISLAO DEL CAMPO 4229;LAFERRERE;;
LIBERTAD;AV. EVA PERON 4321;LIBERTAD;;
DE LA ESTACION MERLO;AV LIBERTADOR 788;MERLO;;
NUEVA FUNES;AV DEL LIBERTADOR 363;MERLO;;
ALTOS DE MORENO;ESPA¥A 237;MORENO;;
DEL HIPER II;AV GAONA S/N ESQ GRAHAM BELL ;MORENO;;
CENTRAL MORON;AV RIVADAVIA 18161;MORON;;
 ANTIGUA FARMACIA CRAVENNA;AV RIVADAVIA 18199;MORON;;
CENTRAL OESTE LELOIR;PTE PERON 8505;PARQUE LELOIR;;
CIENTIFICA FARMAX;SALVADOR DEL CARRIL 325;PASO DEL REY;;
MARTINOIA ;AV DE MAYO 899;RAMOS MEJIA;;
NUEVA PARA TI;AV RIVADAIA 14002;RAMOS MEJIA;;
ANTIGUA FARMACIA NOGUERA;NOGUERA 23;SAN ANTONIO DE PADUA;;
BEDINI;VENEZUELA 2602;SAN JUSTO;;
ROMANO;PTE ILLIA 2302;SAN JUSTO;;
YANSON;AV VELEZ SARFIELD 998;VILLA MADERO;;
PALMER;AV. 25 DE MAYO 504/6;GRAL. RODRIGUEZ;;
Nueva Segui;Segui 602 Esq. Avellaneda;ÿAdrogue;;
De La Plaza;Av. Mitre 844; Avellaneda;;
El Alto A;Guemes 850; Avellaneda;;
Saibene;Av. Maipu 202; Banfield;;
Sol Berazategui;Mitre 2372; Berazategui;;
Benedetto;Calle 14 Nro.4998;Berazategui;;
Sanar 1;Av. Los Quilmes 1;Bernal ;;
Pasteur;Alsina 998;Burzaco;;
Perez;Av. Lirio 349; Claypole;;
Nueva Ezeiza;Avellaneda 70;Ezeiza;;
Tropeano;Moreno Esq.Hernandez;Ezpeleta;;
Manuela Amarelle;Av. San Martin 2944;Fcio. Varela;;
Krukowski;Av. Hipolito Yrigoyen 20119;Glew;;
Estacion Hudson;Calle 161 Nro 5806/5808; Hudson;;
Lofrano;Mitre 188;Lomas de Zamora ;;
Rex;Ituzaingo 1072;Lanus Este;;
Nueva Fcia Mourin;Av. Hipolito Yrigoyen 4581; Lanus Oeste;;
Nueva Llavallol;Av. A. Argentina 1644;Llavallol;;
Nueva Longchamps;Av.La Aviacion 991; Longchamps;;
Franco;General Rodriguez 129;Monte Grande;;
Dorado;H. Yrigoyen 614;Quilmes Este;;
Quilmes Oeste;12 De Octubre 440; Quilmes Oeste;;
Remedios S.C.S.;Ramon Franco 3399;R. de Escalada;;
Sessarego;Av. 844 Nro 1339;S. F. Solano;;
Maga Shop Sarandi;Av. Mitre 3385;Sarandi;;
Red XXI;Av. H.Yrigoyen 10581/83;Temperley;;
M & A;Av. San Martin 404;Bella Vista;;
Rial;Alvear 2571;Benavidez;;
Santa Rita;Av. Sucre 431;Boulogne;;
Dutkiewiczÿ;Independencia 2980;Carapachay;;
Gigliottiÿ;Av. San Martin 2643;Caseros;;
Moderna Gigliottiÿ;Av. San Martin 2287;Caseros;;
Castelli;Av.A.T.De Alvear 2767;Don Torcuato;;
De la Estacion;Misiones 6578;El Palomar;;
Ferman;Av. Libertad 2394;El Palomar;;
Iris;Hipolito Yrigoyen 1756;Florida Este;;
Florida;Av.Mitre 1755;Florida Oeste;;
Gasparin;Hipolito Yrigoyen 786;Gral Pacheco;;
Laguzzi;Juan Francisco Segui 1455;Grand Bourg;;
Behigo;Av. Jauretche 999;Hurlingham;;
Navarro;Julio Argentino Roca 2001;ÿHurlingham;;
Pazos;Pte. Peron 4708;Jose C. Paz;;
Alesel;Blanco Encalada 2486;La Horqueta;;
Borges;Roma 800;La Lucila;;
Calapraba;Ruta 8 km. 21,600;Loma Hermosa;;
Sudamericana;H. Yrigoyen 514;Martinez;;
Central Munro;Velezÿ Sarfield 4164;Munro;;
Romani;Av. Maipu 3548;Olivos;;
Carricaburu;Benito Perez Gald¢s 8406;Pablo Podesta;;
Goldberg;Av. America 751;Saenz Pe¤a;;
Fabris;Centenario 448;San Isidro;;
Selma;Av. Centenario 300;San Isidro;;
Del Ferrocarrilÿ;Belgrano 3202;San Martin;;
Nueva Pascualÿ;Belgrano 3600;San Martin;;
Tkl Central S.Miguelÿ;Av. Mitre 1181;San Miguel;;
Lopez;Av. Rodriguez Pe¤a1301;Santos Llugares;;
Del Puebloÿ;Cazon 1550;Tigre;;
Troilo;Av. Maipu 699;Vicente Lopez;;
Viacavaÿ;Av. Maipu 199;Vicente Lopez;;
Pelman (Ganduglia)ÿ;Av. Juan Domingo Per¢n 3302;Victoria;;
Selma;Paran  6502;Villa Adelina;;
Antigua del Aguila;Alvear 251;Villa Ballester;;
Nueva Cruzzi;Miguel Agel 5463;Villa Bosch;;
Roma;Laprida 3600;Villa Martelli;;
Principal Tesei;Av. Gob. Vergara 2284;Villa Tesei;;
